username,time,tweet
caseyleannnn,Sat Sep 01 05:29:58 IST 2012,You tell thoughts stars fill polluted skies  tell run ones left take side
caseyleannnn,Fri Aug 31 07:46:07 IST 2012, realized I autocorrected  word test taken out lol b
caseyleannnn,Fri Aug 31 07:42:11 IST 2012,Just finished studying social studies tomorrow imsotestreadyicantbreathe going bed 
caseyleannnn,Thu Aug 30 17:06:50 IST 2012,Dont tell Im dying cause I dont wanna know thrivingivory
caseyleannnn,Thu Aug 30 02:42:21 IST 2012,Just ordered large pizza imstarving ineedadiet
caseyleannnn,Wed Aug 29 04:35:12 IST 2012,This iPad  coolest thing everfacetimeme 
caseyleannnn,Sun Aug 26 07:20:38 IST 2012, youre welcome 
caseyleannnn,Sat Aug 25 20:12:24 IST 2012,Working drop egg project science yolo
caseyleannnn,Sat Aug 25 20:09:06 IST 2012, Happy birthday 
caseyleannnn,Sat Aug 25 06:36:26 IST 2012,Just tried call sick pappaw hospital  nurse hung up asking put through bed peoplearesorude
caseyleannnn,Fri Aug 24 07:54:17 IST 2012,Just finished studying test tomorrow woot sotired
caseyleannnn,Fri Aug 24 04:54:52 IST 2012,ThingsINeverGetTiredOfSeeing face 💚😉
caseyleannnn,Thu Aug 23 07:49:57 IST 2012,William24 I seriously biggest chicken xD Ill mammaw gaurd sleep tonight xD
caseyleannnn,Thu Aug 23 07:41:18 IST 2012,William24 Youre right Im such chicken I cant help though I love ghost shows xD
caseyleannnn,Thu Aug 23 07:40:19 IST 2012,William24 LOL I figured something I time xD
caseyleannnn,Thu Aug 23 07:38:29 IST 2012,William24 Yes xD
caseyleannnn,Thu Aug 23 07:33:10 IST 2012,After watching good 5 episodes Paranormal Witness safe Im never sleeping again
caseyleannnn,Sun Aug 19 07:45:02 IST 2012, glad youre enjoying high school I Its really boss  I love
caseyleannnn,Sat Aug 18 07:02:17 IST 2012,Its Friday night  I doing Eating loaf bread  getting ready go sleep 930 yolo
caseyleannnn,Sat Aug 18 04:38:14 IST 2012,So excited weekend five morning alarm clocks sleepmylifeaway
caseyleannnn,Sat Aug 18 04:32:32 IST 2012, Its great isnt Theres many more people wonderful I dont know wonderful 3 xD
caseyleannnn,Sat Aug 18 04:31:00 IST 2012, I reply -sigh- excuse ingorance twitter xD
caseyleannnn,Fri Aug 10 03:25:24 IST 2012,I cant even explain much I love high school 
caseyleannnn,Wed Aug 08 06:44:05 IST 2012, amazing I love high school 33 omg Nobody told amazing3  thank  comfortable xD
caseyleannnn,Tue Aug 07 03:09:31 IST 2012,Breaking new shoes ouch
caseyleannnn,Mon Aug 06 22:40:02 IST 2012, sucks I sure stay good side 00
caseyleannnn,Sat Aug 04 03:08:47 IST 2012,Oh baby call fool I cant deny gravitational pull -Spongebob
caseyleannnn,Sat Aug 04 01:46:11 IST 2012, lol Im actually super excited school year  lol happens xD
caseyleannnn,Sat Aug 04 00:02:48 IST 2012,There nothing eat here hungrygirlproblems
caseyleannnn,Wed Aug 01 23:05:54 IST 2012,Super excited school year 6moredays
caseyleannnn,Wed Aug 01 19:53:41 IST 2012,Slow day today Ill go make breakfast Cheerios
caseyleannnn,Wed Aug 01 19:37:01 IST 2012, scratch  make 430 -sigh- yay Im excited Any  tips give high school expertopinion
caseyleannnn,Mon Jul 30 22:34:20 IST 2012, Ill wake up 5 Im excited high school Ill keep climbing up higher  higher 80slyricconnection
caseyleannnn,Sun Jul 29 07:22:19 IST 2012, I know I cant wait   omg 15 followers happened faithful follower  -sigh- toughlove
caseyleannnn,Fri Jul 27 01:53:29 IST 2012, those 16 people I wake up morning Oh lawd lol xD
caseyleannnn,Thu Jul 26 00:43:22 IST 2012, I 16 people apparently pretty well ones dont unfollow xD
caseyleannnn,Wed Jul 25 01:50:07 IST 2012,Going empty fridge hungrygirlproblems
caseyleannnn,Tue Jul 24 22:15:35 IST 2012, lol I follower today  Im happy idontownalife
caseyleannnn,Tue Jul 24 01:45:10 IST 2012, I 18 last week I unfollowed xD lol back social ladder xD
caseyleannnn,Tue Jul 24 00:36:13 IST 2012,Could today go slower lawd
caseyleannnn,Mon Jul 23 08:07:09 IST 2012, I knew itd make feel better 
caseyleannnn,Mon Jul 23 08:01:23 IST 2012, Did hear Italian Chef died Of course pasta way xD
caseyleannnn,Mon Jul 23 07:54:55 IST 2012, Just trying make feel better 
caseyleannnn,Mon Jul 23 07:45:38 IST 2012, I bet having blast right XD
caseyleannnn,Sun Jul 22 05:05:49 IST 2012,Just done swimming washedup
caseyleannnn,Sat Jul 21 07:06:00 IST 2012,This way I chose live obviously arent okay  I dont care This
caseyleannnn,Tue Jul 17 21:41:50 IST 2012,RT  MyLastWordsBeforeIDie tell cats I love
caseyleannnn,Tue Jul 17 21:39:56 IST 2012, I 17 followers now Climbing up social ladder xD
caseyleannnn,Tue Jul 17 21:33:17 IST 2012,This kid life bestfriends 
